case,seed,generation,evaluations,hypervolume,normalized_hypervolume,reference_objective_1,reference_objective_2
C037,47,52,1872,1048.8399219688963,0.6203674882405125,0.423942885276629,3987.9786881590203
C037,47,53,1908,1048.8399219688963,0.6203674882405125,0.423942885276629,3987.9786881590203
C037,47,54,1944,1048.8399219688963,0.6203674882405125,0.423942885276629,3987.9786881590203
C037,47,55,1980,1048.8428712599857,0.6203692326862252,0.423942885276629,3987.9786881590203
C037,47,56,2016,1048.8504717076623,0.6203737281964894,0.423942885276629,3987.9786881590203
C037,83,1,36,1014.0523035160802,0.5997913192471255,0.423942885276629,3987.9786881590203
C037,83,2,72,1014.7445567599314,0.6002007729655805,0.423942885276629,3987.9786881590203
C037,83,3,108,1015.8248037064853,0.6008397170702778,0.423942885276629,3987.9786881590203
C037,83,4,144,1016.8465764250393,0.6014440748580441,0.423942885276629,3987.9786881590203
C037,83,5,180,1017.1798122591495,0.6016411770783815,0.423942885276629,3987.9786881590203
C037,83,6,216,1017.4708594687128,0.6018133255851024,0.423942885276629,3987.9786881590203
C037,83,7,252,1017.4966834817236,0.60182859996373,0.423942885276629,3987.9786881590203
C037,83,8,288,1020.1272670304379,0.603384536646288,0.423942885276629,3987.9786881590203
C037,83,9,324,1032.3887479291984,0.6106369532905684,0.423942885276629,3987.9786881590203
C037,83,10,360,1032.3887479291984,0.6106369532905684,0.423942885276629,3987.9786881590203
C037,83,11,396,1041.7650151325356,0.6161828246977961,0.423942885276629,3987.9786881590203
C037,83,12,432,1041.7650151325356,0.6161828246977961,0.423942885276629,3987.9786881590203
C037,83,13,468,1041.7836064240278,0.6161938210687051,0.423942885276629,3987.9786881590203
C037,83,14,504,1041.7881836985393,0.616196528433511,0.423942885276629,3987.9786881590203
C037,83,15,540,1041.8089429336355,0.616208807098982,0.423942885276629,3987.9786881590203
C037,83,16,576,1041.9331839886686,0.6162822931568949,0.423942885276629,3987.9786881590203
C037,83,17,612,1041.9331839886686,0.6162822931568949,0.423942885276629,3987.9786881590203
C037,83,18,648,1042.8317949112652,0.6168138032465473,0.423942885276629,3987.9786881590203
C037,83,19,684,1042.8317949112652,0.6168138032465473,0.423942885276629,3987.9786881590203
C037,83,20,720,1042.8317949112652,0.6168138032465473,0.423942885276629,3987.9786881590203
C037,83,21,756,1042.8317949112652,0.6168138032465473,0.423942885276629,3987.9786881590203
C037,83,22,792,1042.8317949112652,0.6168138032465473,0.423942885276629,3987.9786881590203
C037,83,23,828,1042.857020328794,0.6168287235681182,0.423942885276629,3987.9786881590203
C037,83,24,864,1042.857020328794,0.6168287235681182,0.423942885276629,3987.9786881590203
C037,83,25,900,1042.857020328794,0.6168287235681182,0.423942885276629,3987.9786881590203
C037,83,26,936,1042.8940900906412,0.6168506495785275,0.423942885276629,3987.9786881590203
C037,83,27,972,1043.0820299011014,0.6169618121551166,0.423942885276629,3987.9786881590203
C037,83,28,1008,1043.0820299011014,0.6169618121551166,0.423942885276629,3987.9786881590203
C037,83,29,1044,1043.4308519165393,0.6171681332848025,0.423942885276629,3987.9786881590203
C037,83,30,1080,1043.4386579366883,0.6171727503870041,0.423942885276629,3987.9786881590203
C037,83,31,1116,1043.8666360292718,0.6174258907268757,0.423942885276629,3987.9786881590203
C037,83,32,1152,1043.8991736549558,0.6174451360708945,0.423942885276629,3987.9786881590203
C037,83,33,1188,1043.8991736549558,0.6174451360708945,0.423942885276629,3987.9786881590203
C037,83,34,1224,1043.957366749746,0.617479556103248,0.423942885276629,3987.9786881590203
C037,83,35,1260,1043.957366749746,0.617479556103248,0.423942885276629,3987.9786881590203
C037,83,36,1296,1043.9660076509144,0.6174846670205975,0.423942885276629,3987.9786881590203
C037,83,37,1332,1043.9660076509144,0.6174846670205975,0.423942885276629,3987.9786881590203
C037,83,38,1368,1043.9664846329006,0.617484949145744,0.423942885276629,3987.9786881590203
